id,stageId,kanji,grade,questionType,question,choice1,choice2,choice3,choice4,correctAnswer,explanation
s7-q043,7,ひょう,3,homophone,「ひょう」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）を見る。」,表,兵,氷,票,0,見るのは「表」です
s7-q045,7,びょう,3,homophone,「びょう」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）気。」,病,秒,苗,描,0,病気の「病」です
s7-q046,7,ひん,3,homophone,「ひん」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）物。」,品,貧,賓,頻,0,品物の「品」です
s7-q047,7,洋,3,compound,「洋（　）」に入る漢字を選んで二字熟語を完成させなさい。,服,風,装,衣,0,洋服が正解です
s7-q048,7,流,3,compound,「流（　）」に入る漢字を選んで二字熟語を完成させなさい。,水,石,川,河,0,流水が正解です
s7-q049,7,両,3,compound,「両（　）」に入る漢字を選んで二字熟語を完成させなさい。,親,方,側,手,0,両親が正解です
s7-q050,7,礼,3,compound,「礼（　）」に入る漢字を選んで二字熟語を完成させなさい。,儀,式,法,節,0,礼儀が正解です
s7-q051,7,あい,4,writing,「あい」を漢字で書いたものを選びなさい。,愛,哀,挨,曖,0,愛が正解です
s7-q052,7,あん,4,writing,「あん」を漢字で書いたものを選びなさい。,案,安,暗,按,0,案が正解です
s7-q054,7,い,4,writing,「い」を漢字で書いたものを選びなさい。,衣,依,医,委,0,衣が正解です
s7-q055,7,ひつ,3,writing,「ひつ」を漢字で書いたものを選びなさい。,筆,必,泌,畢,0,筆が正解です
s7-q056,7,こおり,3,writing,「こおり」を漢字で書いたものを選びなさい。,氷,凍,冷,水,0,氷が正解です
s7-q060,7,ひん,3,writing,「ひん」を漢字で書いたものを選びなさい。,品,貧,賓,頻,0,品が正解です
s7-q061,7,ふ,3,writing,「ふ」を漢字で書いたものを選びなさい。,負,不,付,婦,0,負が正解です
s7-q062,7,ぶ,3,writing,「ぶ」を漢字で書いたものを選びなさい。,部,武,舞,無,0,部が正解です
s7-q063,7,ふく,3,writing,「ふく」を漢字で書いたものを選びなさい。,服,福,複,腹,0,服が正解です
s7-q064,7,ふく,3,writing,「ふく」を漢字で書いたものを選びなさい。,福,服,複,腹,0,福が正解です
s8-q002,8,茨,4,reading,「茨」の読み方を選びなさい。,いばら,ばら,し,とげ,0,茨は「いばら」と読みます
s8-q004,8,英,4,reading,「英」の読み方を選びなさい。,えい,はな,ひで,よ,0,英は「えい」と読みます
s8-q005,8,栄,4,reading,「栄」の読み方を選びなさい。,えい,さか,は,ほまれ,0,栄は「えい」「さか（える）」と読みます
s8-q009,8,億,4,reading,「億」の読み方を選びなさい。,おく,よく,えき,ちょう,0,億は「おく」と読みます
s8-q010,8,加,4,reading,「加」の読み方を選びなさい。,くわ,か,た,ます,0,加は「くわ（える）」「か」と読みます
s8-q011,8,果,4,reading,「果」の読み方を選びなさい。,は,か,み,たね,0,果は「は（たす）」「か」と読みます
s8-q012,8,貨,4,reading,「貨」の読み方を選びなさい。,か,たから,もの,ぶつ,0,貨は「か」と読みます
s8-q013,8,課,4,reading,「課」の読み方を選びなさい。,か,わりあて,はか,だん,0,課は「か」と読みます
s8-q015,8,賀,4,reading,「賀」の読み方を選びなさい。,が,よろこ,いわ,しゅく,0,賀は「が」と読みます
s8-q016,8,改,4,reading,「改」の読み方を選びなさい。,あらた,かい,か,なお,0,改は「あらた（める）」「かい」と読みます
s8-q017,8,械,4,reading,「械」の読み方を選びなさい。,かい,からくり,き,けい,0,械は「かい」と読みます
s8-q018,8,害,4,reading,「害」の読み方を選びなさい。,がい,そこ,わざわ,やぶ,0,害は「がい」と読みます
s8-q035,8,対義語,4,antonym,「加」の対義語を選びなさい。,減,引,除,退,0,加の反対は減です
s8-q036,8,対義語,4,antonym,「完」の対義語を選びなさい。,欠,不,未,半,0,完の反対は欠です
s8-q037,8,対義語,4,antonym,「官」の対義語を選びなさい。,民,私,公,個,0,官の反対は民です
s8-q038,8,対義語,4,antonym,「固」の対義語を選びなさい。,軟,柔,緩,軽,0,固の反対は軟です
s8-q040,8,対義語,4,antonym,「康」の対義語を選びなさい。,病,健,弱,疾,0,康の反対は病です
s8-q041,8,かく,4,homophone,「かく」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）える。」,覚,角,各,格,0,覚えるの「覚」です
s8-q043,8,かん,4,homophone,「かん」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）公庁。」,官,完,館,間,0,官公庁の「官」です
s8-q044,8,かん,4,homophone,「かん」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）理。」,管,完,官,間,0,管理の「管」です
s8-q045,8,かん,4,homophone,「かん」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）係。」,関,完,官,間,0,関係の「関」です
s8-q046,8,かん,4,homophone,「かん」と読む漢字を選びなさい。文の意味に合うものを選びなさい。「（　）察。」,観,完,官,間,0,観察の「観」です
s8-q047,8,加,4,compound,「加（　）」に入る漢字を選んで二字熟語を完成させなさい。,工,減,算,力,0,加工が正解です
s8-q048,8,果,4,compound,「果（　）」に入る漢字を選んで二字熟語を完成させなさい。,実,物,汁,樹,0,果実が正解です
s8-q049,8,改,4,compound,「改（　）」に入る漢字を選んで二字熟語を完成させなさい。,正,善,革,定,0,改正が正解です
s8-q050,8,観,4,compound,「観（　）」に入る漢字を選んで二字熟語を完成させなさい。,察,測,看,視,0,観察が正解です
s8-q051,8,がん,4,writing,「がん」を漢字で書いたものを選びなさい。,願,顔,頑,岸,0,願が正解です
s8-q052,8,き,4,writing,「き」を漢字で書いたものを選びなさい。,希,稀,紀,気,0,希が正解です
s8-q053,8,き,4,writing,「き」を漢字で書いたものを選びなさい。,季,紀,気,希,0,季が正解です
s8-q054,8,き,4,writing,「き」を漢字で書いたものを選びなさい。,紀,季,気,希,0,紀が正解です
s8-q055,8,とく,4,writing,「とく」を漢字で書いたものを選びなさい。,徳,得,德,督,0,徳が正解です
s8-q059,8,けい,4,writing,「けい」を漢字で書いたものを選びなさい。,径,経,系,計,0,径が正解です
s8-q060,8,けい,4,writing,「けい」を漢字で書いたものを選びなさい。,型,形,刑,系,0,型が正解です
s8-q061,8,けい,4,writing,「けい」を漢字で書いたものを選びなさい。,景,影,警,敬,0,景が正解です
s8-q062,8,げい,4,writing,「げい」を漢字で書いたものを選びなさい。,芸,藝,迎,鯨,0,芸が正解です
s9-q001,9,初,4,reading,「初」の読み方を選びなさい。,しょ,そ,じょ,し,0,初は「しょ」「はじ（め）」と読みます
s9-q003,9,笑,4,reading,「笑」の読み方を選びなさい。,しょう,そう,わら,え,0,笑は「しょう」「わら（う）」「え（む）」と読みます
s9-q004,9,唱,4,reading,「唱」の読み方を選びなさい。,しょう,そう,うた,とな,0,唱は「しょう」「とな（える）」と読みます
s9-q005,9,焼,4,reading,「焼」の読み方を選びなさい。,しょう,そう,や,こ,0,焼は「しょう」「や（く）」と読みます
s9-q006,9,照,4,reading,「照」の読み方を選びなさい。,しょう,そう,て,ひか,0,照は「しょう」「て（る）」「て（らす）」と読みます
s9-q010,9,信,4,reading,「信」の読み方を選びなさい。,しん,じん,のぶ,まこと,0,信は「しん」と読みます
s9-q012,9,成,4,reading,「成」の読み方を選びなさい。,せい,しょう,な,でき,0,成は「せい」「な（る）」と読みます
s9-q015,9,静,4,reading,「静」の読み方を選びなさい。,せい,しょう,しず,おだ,0,静は「せい」「じょう」「しず（か）」と読みます
s9-q016,9,席,4,reading,「席」の読み方を選びなさい。,せき,しょく,むしろ,せい,0,席は「せき」と読みます
s9-q017,9,積,4,reading,「積」の読み方を選びなさい。,せき,しょく,つ,かさ,0,積は「せき」「つ（む）」「つ（もる）」と読みます
s9-q018,9,折,4,reading,「折」の読み方を選びなさい。,せつ,しょう,お,た,0,折は「せつ」「お（る）」「お（れる）」と読みます
s9-q020,9,説,4,reading,「説」の読み方を選びなさい。,せつ,しょう,と,ゆい,0,説は「せつ」「ぜい」「と（く）」と読みます
s9-q037,9,対義語,4,antonym,「初」の対義語を選びなさい。,末,先,中,後,0,初（はじめ）の対義語は末（すえ）です
s9-q038,9,対義語,4,antonym,「静」の対義語を選びなさい。,動,走,急,騒,0,静（しず）の対義語は動（どう）です
s9-q039,9,対義語,4,antonym,「清」の対義語を選びなさい。,濁,汚,白,黒,0,清（きよ）の対義語は濁（にご）です
s9-q040,9,対義語,4,antonym,「省」の対義語を選びなさい。,略,加,増,広,1,この対義語は「略（りゃく）」ではなく、省略の反対は「詳細（しょうさい）」ですが選択肢の中では加（か）が最も近いです
s9-q041,9,対義語,4,antonym,「積」の反対の意味を持つ漢字を選びなさい。,消,増,減,除,0,積（つむ）の反対は消（けす）です
s9-q042,9,対義語,4,antonym,「節」と反対の意味を持つ漢字を選びなさい。,分,合,離,全,0,節（ふし）の対義語は分（ぶん）です
s9-q053,9,しん,4,writing,「しん」を漢字で書いたものを選びなさい。,臣,申,伸,新,0,臣（しん）は大臣などに使います
s9-q054,9,しょ,4,writing,「しょ」を漢字で書いたものを選びなさい。,初,書,署,所,0,初（しょ）は最初などに使います
s9-q055,9,しょう,4,writing,「しょう」を漢字で書いたものを選びなさい。,唱,昌,章,商,0,唱（しょう）は唱えるに使います
s9-q056,9,じょう,4,writing,「じょう」を漢字で書いたものを選びなさい。,城,場,上,常,0,城（じょう）は城下町などに使います
s9-q057,9,なわ,4,writing,「なわ」を漢字で書いたものを選びなさい。,縄,縛,網,綱,0,縄（なわ）は縄跳びなどに使います
s9-q058,9,せい,4,writing,「せい」を漢字で書いたものを選びなさい。,井,声,生,正,0,井（せい）は井戸などに使います
s9-q059,9,せき,4,writing,「せき」を漢字で書いたものを選びなさい。,席,積,石,昔,0,席（せき）は座席などに使います
s9-q060,9,しょう,4,writing,「しょう」を漢字で書いたものを選びなさい。,照,昌,章,商,0,照（しょう）は照明などに使います
s9-q061,9,しん,4,writing,「しん」を漢字で書いたものを選びなさい。,信,伸,申,真,0,信（しん）は信用などに使います
s9-q064,9,せつ,4,writing,「せつ」を漢字で書いたものを選びなさい。,節,切,雪,説,0,節（せつ）は季節などに使います
s10-q001,10,浅,4,reading,「浅」の読み方を選びなさい。,せん,しょう,あさ,うす,0,浅は「せん」「あさ（い）」と読みます
s10-q003,10,争,4,reading,「争」の読み方を選びなさい。,そう,しょう,あらそ,たたか,0,争は「そう」「あらそ（う）」と読みます
s10-q008,10,続,4,reading,「続」の読み方を選びなさい。,ぞく,そく,つづ,つら,0,続は「ぞく」「つづ（く）」と読みます
s10-q009,10,卒,4,reading,「卒」の読み方を選びなさい。,そつ,しゅう,お,しもべ,0,卒は「そつ」と読みます
s10-q012,10,隊,4,reading,「隊」の読み方を選びなさい。,たい,だい,くみ,ぐん,0,隊は「たい」と読みます
s10-q013,10,達,4,reading,「達」の読み方を選びなさい。,たつ,だつ,たち,ども,0,達は「たつ」「だち」と読みます
s10-q014,10,単,4,reading,「単」の読み方を選びなさい。,たん,だん,ひとえ,ひと,0,単は「たん」と読みます
s10-q015,10,置,4,reading,「置」の読み方を選びなさい。,ち,じ,お,す,0,置は「ち」「お（く）」と読みます
s10-q017,10,貯,4,reading,「貯」の読み方を選びなさい。,ちょ,じょ,た,つみ,0,貯は「ちょ」と読みます
s10-q018,10,兆,4,reading,「兆」の読み方を選びなさい。,ちょう,じょう,きざ,しる,0,兆は「ちょう」「きざ（す）」と読みます
s10-q019,10,腸,4,reading,「腸」の読み方を選びなさい。,ちょう,じょう,はらわた,わた,0,腸は「ちょう」と読みます
s10-q020,10,低,4,reading,「低」の読み方を選びなさい。,てい,じょう,ひく,さが,0,低は「てい」「ひく（い）」と読みます
s10-q037,10,対義語,4,antonym,「浅」の対義語を選びなさい。,深,厚,高,濃,0,浅（あさ）の対義語は深（ふか）です
s10-q038,10,対義語,4,antonym,「単」の対義語を選びなさい。,複,多,重,混,0,単（たん）の対義語は複（ふく）です
s10-q039,10,対義語,4,antonym,「低」の対義語を選びなさい。,高,厚,上,強,0,低（てい）の対義語は高（こう）です
s10-q040,10,対義語,4,antonym,「停」の対義語を選びなさい。,続,進,動,走,0,停（てい）の対義語は続（ぞく）です
s10-q041,10,対義語,4,antonym,「底」の対義語を選びなさい。,頂,上,天,先,0,底（てい）の対義語は頂（ちょう）です
s10-q042,10,対義語,4,antonym,「争」の対義語を選びなさい。,和,平,静,黙,0,争（そう）の対義語は和（わ）です
s10-q053,10,ぜん,4,writing,「ぜん」を漢字で書いたものを選びなさい。,然,前,全,善,0,然（ぜん）は自然などに使います
s10-q054,10,そう,4,writing,「そう」を漢字で書いたものを選びなさい。,倉,曹,層,早,0,倉（そう）は倉庫などに使います
s10-q055,10,そう,4,writing,「そう」を漢字で書いたものを選びなさい。,巣,曹,層,早,0,巣（そう）は巣箱などに使います
s10-q056,10,そく,4,writing,「そく」を漢字で書いたものを選びなさい。,束,速,則,足,0,束（そく）は約束などに使います
s10-q057,10,ぞく,4,writing,「ぞく」を漢字で書いたものを選びなさい。,続,俗,族,属,0,続（ぞく）は継続などに使います
s10-q058,10,そつ,4,writing,「そつ」を漢字で書いたものを選びなさい。,卒,率,族,速,0,卒（そつ）は卒業などに使います
s10-q059,10,たい,4,writing,「たい」を漢字で書いたものを選びなさい。,帯,待,体,対,0,帯（たい）は地帯などに使います
s10-q060,10,たい,4,writing,「たい」を漢字で書いたものを選びなさい。,隊,待,体,対,0,隊（たい）は部隊などに使います
s10-q061,10,たつ,4,writing,「たつ」を漢字で書いたものを選びなさい。,達,竜,立,建,0,達（たつ）は配達などに使います
s10-q062,10,ち,4,writing,「ち」を漢字で書いたものを選びなさい。,置,地,知,池,0,置（ち）は位置などに使います
s10-q063,10,ちょ,4,writing,「ちょ」を漢字で書いたものを選びなさい。,貯,著,緒,諸,0,貯（ちょ）は貯金などに使います
